============================================================
  TRANSITION DETECTION RATE (TDR) — TEST SET
============================================================
  Probability threshold      : 0.3
  Early-warning window       : 14 days
  Total INACTIVE periods     : 299
  Detected periods           : 117
  Transition Detection Rate  : 39.1%
  Mean lead time (detected)  : 12.6 days
  Median lead time           : 14.0 days
============================================================

Per-period breakdown:
                     dev period_start period_end  period_length_days  detected  lead_time_days  max_prob_in_window
        MDQ6VXNlcjQ3ODQ4   2023-10-28 2023-11-06                  10      True            14.0            0.779611
        MDQ6VXNlcjQ3ODQ4   2023-12-08 2024-01-01                  25     False             NaN            0.007762
        MDQ6VXNlcjQ3ODQ4   2024-06-27 2024-07-25                  29      True            14.0            0.914931
        MDQ6VXNlcjQ3ODQ4   2024-11-08 2024-12-01                  24     False             NaN            0.010039
        MDQ6VXNlcjQ3ODQ4   2024-12-25 2025-01-05                  12     False             NaN            0.008271
        MDQ6VXNlcjQ3ODQ4   2025-03-01 2025-03-11                  11     False             NaN            0.108923
        MDQ6VXNlcjQ3ODQ4   2025-03-13 2025-05-05                  54      True             1.0            0.486004
        MDQ6VXNlcjQ3ODQ4   2025-05-16 2025-07-16                  62      True            14.0            0.959425
        MDQ6VXNlcjQ3ODQ4   2025-08-15 2025-09-01                  18     False             NaN            0.005714
        MDQ6VXNlcjQ3ODQ4   2025-09-25 2025-10-05                  11     False             NaN            0.000720
        MDQ6VXNlcjQ3ODQ4   2025-11-16 2025-12-07                  22      True            14.0            0.978621
        MDQ6VXNlcjQ3ODQ4   2025-12-09 2025-12-11                   3      True            14.0            0.854489
        MDQ6VXNlcjQ3ODQ4   2025-12-13 2026-01-05                  24      True            14.0            0.579294
        MDQ6VXNlcjY2NTM=   2007-12-08 2008-01-11                  35     False             NaN                 NaN
        MDQ6VXNlcjY2NTM=   2008-01-27 2008-02-09                  14     False             NaN                 NaN
        MDQ6VXNlcjY2NTM=   2008-02-18 2008-03-02                  14     False             NaN                 NaN
        MDQ6VXNlcjY2NTM=   2008-05-26 2008-06-28                  34     False             NaN            0.020004
        MDQ6VXNlcjY2NTM=   2008-07-16 2008-09-13                  60      True            14.0            0.988936
        MDQ6VXNlcjY2NTM=   2010-01-29 2010-06-10                 133      True            14.0            0.981320
        MDQ6VXNlcjk0MTI5   2014-05-23 2015-01-03                 226     False             NaN            0.226687
        MDQ6VXNlcjk0MTI5   2015-06-05 2015-08-08                  65      True             6.0            0.958046
        MDQ6VXNlcjk0MTI5   2015-09-05 2016-01-26                 144      True            14.0            0.999876
        MDQ6VXNlcjk0MTI5   2016-02-23 2016-06-12                 111      True            14.0            0.998722
        MDQ6VXNlcjk0MTI5   2016-07-10 2016-08-11                  33      True             6.0            0.757303
        MDQ6VXNlcjk0MTI5   2016-09-08 2016-10-15                  38      True            14.0            0.998070
        MDQ6VXNlcjk0MTI5   2017-01-12 2017-02-24                  44      True            14.0            0.985325
        MDQ6VXNlcjk0MTI5   2017-02-26 2017-03-15                  18      True            14.0            0.465941
        MDQ6VXNlcjk0MTI5   2017-04-28 2017-07-02                  66      True            14.0            0.993822
        MDQ6VXNlcjk0MTI5   2021-10-29 2021-12-19                  52      True            11.0            0.992018
        MDQ6VXNlcjk0MTI5   2022-07-23 2022-09-09                  49     False             NaN            0.076931
        MDQ6VXNlcjk0MTI5   2022-09-11 2022-09-27                  17      True            14.0            0.823909
        MDQ6VXNlcjk0MTI5   2022-09-29 2022-09-29                   1      True            14.0            0.673043
        MDQ6VXNlcjk0MTI5   2023-01-29 2023-05-04                  96     False             NaN            0.000459
        MDQ6VXNlcjk0MTI5   2023-06-23 2023-12-02                 163      True            14.0            0.987509
        MDQ6VXNlcjk0MTI5   2024-01-21 2024-06-14                 146      True            14.0            0.758937
        MDQ6VXNlcjk1ODI=   2008-07-31 2009-01-17                 171     False             NaN                 NaN
        MDQ6VXNlcjk1ODI=   2009-05-16 2009-06-16                  32      True            14.0            0.994951
        MDQ6VXNlcjk1ODI=   2009-08-14 2009-08-28                  15      True            14.0            0.988897
        MDQ6VXNlcjk1ODI=   2009-09-23 2009-10-06                  14      True            14.0            0.874892
        MDQ6VXNlcjk1ODI=   2010-10-27 2010-11-03                   8     False             NaN            0.144321
        MDQ6VXNlcjk1ODI=   2014-01-31 2014-02-22                  23     False             NaN            0.000334
        MDQ6VXNlcjk1ODI=   2014-03-18 2014-05-07                  51     False             NaN            0.000754
        MDQ6VXNlcjk1ODI=   2014-05-31 2014-07-01                  32     False             NaN            0.030767
        MDQ6VXNlcjk1ODI=   2014-11-27 2015-01-03                  38     False             NaN            0.011616
